treat,block,PR,PSH,PSI,PRaoQ,AR,ASH,ASI,ARaoQ,Pbiomass,SB,SM,pH
Enclosure,3,3,0.3871,0.2131,0.0548,8,1.9913,0.8533,0.2636,70.4537,1.2475,8.7054,7.9
Mowing,1,8,1.1428,0.6129,0.1379,13,1.6756,0.6792,0.2061,81.9171,1.2558,3.8541,8.17
Mowing,2,7,1.2328,0.6829,0.1273,13,2.1434,0.8441,0.2594,82.2587,1.301,4.2506,8.03
Mowing,1,9,1.1626,0.555,0.118,8,1.9054,0.8304,0.2502,84.9905,1.2719,4.5444,8.3
Grazing,2,5,1.1808,0.64,0.1136,7,1.6682,0.7653,0.2161,79.4753,1.3136,3.4866,7.97
Grazing,1,4,1.189,0.6612,0.1004,8,0.9321,0.3927,0.1128,83.6918,1.3226,2.9487,8.27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing,3,7,1.0367,0.5262,0.0586,8,1.3126,0.5664,0.1553,65.7275,1.2959,3.1484,8.19
Grazing,3,10,1.2558,0.65,0.1403,6,1.6308,0.7755,0.2459,117.7033,1.2544,3.6751,7.87
Mowing,1,5,0.7611,0.3911,0.0919,14,2.2508,0.8632,0.239,99.6746,1.2248000000000001,3.0862,8.07
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enclosure,1,7,0.6254,0.3448,0.0854,14,1.1656,0.4598,0.2556,97.4597,1.2166,5.6304,8.18
Mowing,3,6,1.045,0.5212,0.0993,11,1.6483,0.7188,0.2127,97.2449,1.2146,4.6353,8.05
Grazing,2,8,1.4815,0.7311,0.127,10,1.8705,0.7675,0.2178,88.3313,1.2705,4.9744,7.85
Enclosure,2,6,0.9476,0.5277,0.1147,12,1.6299,0.6935,0.2705,74.7203,1.3102,7.2432,7.91
Mowing,2,6,1.0972,0.5976,0.1373,13,2.0531,0.8275,0.2528,88.7308,1.32,3.5606,8.06
Grazing,2,7,1.3872,0.6656,0.0973,5,0.8343,0.4047,0.0902,62.7979,1.3861,3.5856,8.05
Enclosure,2,5,0.9102,0.5305,0.1244,19,2.783,0.9267,0.265,78.6631,1.2598,5.3501,8.08
Mowing,3,8,1.1501,0.5685,0.1252,7,1.6095,0.7469,0.2046,97.6573,1.2812,4.8782,8.13
Grazing,1,7,1.2833,0.641,0.0982,12,1.6658,0.6752,0.2366,86.6903,1.1016,3.1318,8.36
Enclosure,3,6,0.3835,0.1518,0.0316,10,1.9518,0.8235,0.283,84.5406,1.1067,9.325,7.99
Mowing,2,8,1.0952,0.6064,0.1416,8,1.4773,0.6743,0.2129,83.2404,1.2462,5.0072,8.08
Enclosure,1,3,0.5138,0.2948,0.0755,7,0.8925,0.3841,0.3061,96.9913,1.2673,4.2374,7.98
Mowing,2,8,1.0752,0.5602,0.1262,11,1.5905,0.6486,0.2135,86.7722,1.2694,2.8045,8.08
Grazing,1,8,1.3537,0.7026,0.1385,3,0.534,0.2867,0.0528,102.9718,1.3296,3.1137,8.18
Grazing,3,11,1.4328,0.7061,0.136,6,1.2796,0.6154,0.1697,99.2657,1.2884,3.8575,8.12
Grazing,3,12,1.6425,0.7505,0.1138,2,0.6365,0.4444,0.08,93.712,1.2748,4.6831,8.06
Enclosure,1,6,0.6428,0.3544,0.0888,6,1.7479,0.8163,0.2343,82.9637,1.2204,5.0721,8.14
Enclosure,3,6,1.2606,0.6482,0.0935,7,1.1899,0.5682,0.1511,50.4167,1.2925,4.4797,7.91
Mowing,3,6,1.2717,0.6951,0.1296,11,1.886,0.7848,0.2136,71.6163,1.1027,8.0892,7.92
Grazing,1,7,1.1132,0.6097,0.1342,9,0.7276,0.3321,0.232,96.3444,1.3225,3.4329,8.26
